,domain,X username,country
181,latimes.com,latimes,US
182,latimes.com,latimespolitics,US
183,latimes.com,latimesopinion,US
184,latimes.com,latimesnational,US
185,latimes.com,latimesbiz,US
186,latimes.com,latimesworld,US
187,cnbc.com,cnbc,US
188,cnbc.com,cnbcnow,US
189,cnbc.com,cnbci,US
190,cnbc.com,cnbcpolitics,US
191,cnbc.com,cnbcopinion,US
192,lehighvalleylive.com,lehighvalley,US
193,topix.com,pchdotcom,US
194,mountaineagle.com,dailymtneagle,US
195,theatlantic.com,theatlantic,US
196,theatlantic.com,theatlglobal,US
197,theatlantic.com,theatlpolitics,US
198,theatlantic.com,theatlbusiness,US
199,theatlantic.com,theatlnews,US
200,bloomberg.com,business,US
201,bloomberg.com,bpolitics,US
202,bloomberg.com,bv,US
203,bloomberg.com,bw,US
204,bloomberg.com,markets,US
205,breitbart.com,breitbartnews,US
206,emergencyemail.org,EmergencyEmail,US
207,marketwatch.com,MarketWatch,US
208,reuters.com,reuters,US
209,reuters.com,reuterstv,US
210,reuters.com,reutersopinion,US
211,reuters.com,specialreports,US
212,reuters.com,reutersworld,US
213,reuters.com,reuterspolitics,US
214,reuters.com,reutersbiz,US
215,reuters.com,reutersus,US
216,reuters.com,reuterslive,US
217,usnews.com,usnews,US
218,usnews.com,usnewsinvesting,US
219,usnews.com,usnewsweekly,US
220,mashable.com,socialgood,US
221,twincities.com,pioneerpress,US
222,vice.com,vice,US
223,vice.com,vicenews,US
224,vice.com,viceland,US
225,vice.com,viceimpact,US
226,vice.com,vice_money,US
227,chicagotribune.com,chicagotribune,US
228,chicagotribune.com,chitribbiz,US
229,chicagotribune.com,trib_ed_board,US
230,chicagotribune.com,chicagobreaking,US
232,time.com,time,US
233,time.com,timemaglive,US
234,time.com,timeideas,US
235,time.com,timebusiness,US
236,time.com,timepolitics,US
237,time.com,timeworld,US
238,patch.com,PatchTweet,US
239,rawstory.com,rawstory,US
240,politico.com,politico,US
241,politico.com,politicomag,US
242,politico.com,playbookplus,US
243,politico.com,politicolive,US
244,politico.com,politicopi,US
245,politico.com,politicopro,US
246,politico.com,politico_45,US
247,theroot.com,theroot,US
248,dallasnews.com,dallasnews,US
249,snopes.com,snopes,US
250,wsj.com,wsj,US
251,wsj.com,wsjfinreg,US
252,wsj.com,wsjcentralbanks,US
253,wsj.com,wsjmag,US
254,wsj.com,whatsnewswsj,US
255,wsj.com,wsjthinktank,US
256,wsj.com,wsjmarkets,US
257,wsj.com,wsjlawnews,US
258,wsj.com,wsjbusiness,US
259,wsj.com,wsjusnews,US
260,wsj.com,wsjworld,US
261,wsj.com,wsjbreakingnews,US
262,wsj.com,wsjmoneybeat,US
263,wsj.com,wsjecon,US
264,wsj.com,wsjpolitics,US
265,billingsgazette.com,billingsgazette,US
266,pbs.org,pbs,US
267,pbs.org,washingtonweek,US
268,pbs.org,frontlinepbs,US
269,pbs.org,newshour,US
270,pbs.org,bizrpt,US
271,pbs.org,povengage,US
272,pbs.org,newshourworld,US
273,nationalgeographic.com,NatGeo,US
274,sfgate.com,SFGate,US
275,vox.com,voxdotcom,US
276,fivethirtyeight.com,fivethirtyeight,US
277,fivethirtyeight.com,538politics,US
278,dailywire.com,realdailywire,US
279,nymag.com,nymag,US
280,nymag.com,intelligencer,US
281,slate.com,slate,US
282,slate.com,slatest,US
283,slate.com,slateforeign,US
284,cbslocal.com,cbslocal,US
285,independent.co.uk,Independent,US
286,nydailynews.com,nydailynews,US
287,scmp.com,SCMPNews,US
288,foxbusiness.com,foxbusiness,US
289,tucson.com,tucsonstar,US
290,splinternews.com,splinter_news,US
291,chron.com,myclevelandnews,US
292,rd.com,readersdigest,US
293,detroitnews.com,detroitnews,US
294,express.co.uk,Daily_Express,US
296,msnbc.com,msnbc,US
297,msnbc.com,velshiruhle,US
298,msnbc.com,kasiedc,US
299,msnbc.com,thebeatwithari,US
300,msnbc.com,deadlinewh,US
301,msnbc.com,11thhour,US
302,msnbc.com,amjoyshow,US
303,msnbc.com,waytooearly,US
304,msnbc.com,allinwithchris,US
305,msnbc.com,politicsnation,US
306,msnbc.com,morning_joe,US
307,msnbc.com,hardball,US
308,msnbc.com,thelastword,US
309,msnbc.com,msnbcyourbiz,US
310,msnbc.com,jdbmsnbc,US
311,msnbc.com,maddowblog,US
312,msnbc.com,meetthepress,US
313,msnbc.com,msnnews,US
314,nationalreview.com,nro,US
315,dailycaller.com,dailycaller,US
316,dailycaller.com,thedcpolitics,US
317,dailycaller.com,thedcbusiness,US
318,dailycaller.com,check_your_fact,US
319,dailycaller.com,thedcworldnews,US
320,dailycaller.com,thedc_opinion,US
321,nj.com,njdotcom,US
322,reason.com,reason,US
323,esquire.com,esquire,US
324,theblaze.com,theblaze,US
325,vanityfair.com,vanityfair,US
326,newsmax.com,newsmax,US
327,apnews.com,ap,US
328,apnews.com,apbusiness,US
329,apnews.com,ap_politics,US
330,apnews.com,apfactcheck,US
331,apnews.com,ap_noticias,US
332,bizjournals.com,bhambizjrnl,US
333,newsweek.com,newsweek,US
334,inforum.com,inforum,US
335,pennlive.com,pennlive,US
336,freep.com,freep,US
337,mirror.co.uk,DailyMirror,US
338,seattletimes.com,seattletimes,US
339,washingtonexaminer.com,dcexaminer,US
340,washingtonexaminer.com,dailyondefense,US
341,washingtonexaminer.com,redalert,US
342,washingtonexaminer.com,examineropeds,US
343,washingtonexaminer.com,washexaminer,US
344,insider.com,thisisinsider,US
345,indiatimes.com,indiatimes,US
346,thesun.co.uk,TheSun,US
347,newsobserver.com,cary_news,US
348,yakimaherald.com,yakima_herald,US
349,oregonlive.com,Oregonian,US
350,newyorker.com,newyorker,US
351,newyorker.com,tnynews,US
352,westernjournal.com,westjournalism,US
353,ynetnews.com,ynetnews,US
354,heavy.com,HeavySan,US
355,ibtimes.co.in,ibtimes_india,US
356,thenation.com,thenation,US
357,theweek.com,theweek,US
358,salon.com,salon,US
359,ajc.com,ajc,US
360,inquisitr.com,theinquisitr,US
361,heraldmailmedia.com,heraldmailnews,US
362,motherjones.com,motherjones,US
363,altoonamirror.com,altoonamirrorpa,US
364,rt.com,rt_com,US
365,rt.com,rt_america,US
366,rasmussenreports.com,rasmussen_poll,US
367,spectator.org,amspectator,US
368,mcall.com,mcall,US
369,elitedaily.com,elitedaily,US
370,ljworld.com,ljworld,US
371,startribune.com,startribune,US
372,realclearpolitics.com,realclearnews,US
373,realclearpolitics.com,rcinvestigates,US
374,realclearpolitics.com,rcdefense,US
375,realclearpolitics.com,realclearpolicy,US
376,realclearpolitics.com,rc_markets,US
377,realclearpolitics.com,realclearworld,US
378,bostonglobe.com,bostonglobe,US
379,bostonglobe.com,globespotlight,US
380,bostonglobe.com,globebiz,US
381,bostonglobe.com,globeopinion,US
382,bostonglobe.com,bostonglobemag,US
383,bostonglobe.com,globepolitical,US
384,bostonglobe.com,globeideas,US
385,journalstar.com,journalstarnews,US
386,unionleader.com,unionleader,US
387,omaha.com,bellevueleader,US
388,cjonline.com,cj_news,US
389,vindy.com,vindicator,US
390,alternet.org,alternet,US
391,parade.com,ParadeMagazine,US
392,sun-sentinel.com,sunsentinel,US
393,palmerreport.com,palmerreport,US
394,telegraph.co.uk,Telegraph,US
395,kansascity.com,kcstar,US
396,theonion.com,theonion,US
397,theonion.com,onionpolitics,US
398,democracynow.org,democracynow,US
399,upi.com,upi,US
400,upi.com,secindustrynews,US
401,townhall.com,townhallcom,US
402,townhall.com,townhallfinance,US
403,townhall.com,townhallcolumns,US
404,philly.com,phillydailynews,US
405,gadsdentimes.com,gadsdentimes,US
406,pressofatlanticcity.com,ThePressofAC,US
407,axios.com,axios,US
408,axios.com,axiosworld,US
409,washingtontimes.com,washtimes,US
410,washingtontimes.com,wtimespolitics,US
411,washingtontimes.com,washtimesoped,US
412,sanluisobispo.com,thecambrian,US
413,charlotteobserver.com,theobserver,US
414,statesmanjournal.com,salem_statesman,US
415,economist.com,econus,US
416,jpost.com,Jerusalem_Post,US
417,citizen-times.com,asheville,US
