Domain,Username,Country,Followers,Following,Medias,Likes,Tweets,Listed,IsActive,LastModifiedDate
greenwichtime.com,greenwichtime,US,21542,937,4291,54,105090,326,1,2025-03-25 16:29:17
libn.com,libn,US,21500,877,3844,2476,42986,450,1,2025-03-25 16:29:17
metrowestdailynews.com,metrowestdaily,US,21406,413,798,395,95208,396,1,2025-03-25 16:29:17
nbcnews.com,nbcnewsthink,US,21348,1036,626,61,12132,299,1,2025-03-25 16:29:17
herald-dispatch.com,heralddispatch,US,21224,46,847,214,130201,314,1,2025-03-25 16:29:17
mauinews.com,themauinewshi,US,21220,21,49,4,14515,392,1,2025-03-25 16:29:17
journalgazette.net,jgfortwayne,US,21062,4923,10731,3305,61218,422,1,2025-03-25 16:29:17
mississippifreepress.org,msfreepress,US,21046,2510,19848,7121,29800,239,1,2025-03-25 16:29:17
thedailyrecord.com,mddailyrecord,US,21033,399,7990,493,66284,599,1,2025-03-25 16:29:17
nwaonline.com,nwademgaz,US,20603,810,33343,1181,94232,350,1,2025-03-25 16:29:17
oklahomawatch.org,oklahomawatch,US,20565,2653,2384,2003,18666,347,1,2025-03-25 16:29:17
novayagazeta.eu,novayagazeta_eu,RU,20559,108,13773,89,35782,248,1,2025-03-25 16:29:17
patriotledger.com,patriotledger,US,20530,852,9166,583,149120,382,1,2025-03-25 16:29:17
latimes.com,latimesopinion,US,20406,2274,10745,6350,57663,600,1,2025-03-25 16:29:17
telemundochicago.com,telemundochi,US,20359,1550,12913,44,104708,257,1,2025-03-25 16:29:17
realclearpolitics.com,realclearworld,US,20343,2653,3755,2396,30290,999,1,2025-03-25 16:29:17
tpr.org,tprnews,US,20326,881,6014,3194,38686,483,1,2025-03-25 16:29:17
nebraskapublicmedia.orgen,nebpublicmedia,US,20294,3853,11225,5682,37710,406,1,2025-03-25 16:29:17
politichicks.com,thepolitichicks,US,20265,4239,495,18959,21975,186,1,2025-03-25 16:29:17
outbrain.com,outbrain,US,20206,175,4866,10307,20880,1238,1,2025-03-25 16:29:17
dronedj.com,dronedj,US,20111,342,2843,2680,10576,223,1,2025-03-25 16:29:17
nashuatelegraph.com,nashuatelegraph,US,20080,536,3340,117,31008,437,1,2025-03-25 16:29:17
toacorn.com,toacornnews,US,20072,1289,2898,8922,21302,207,1,2025-03-25 16:29:17
theintell.com,theintellnews,US,20064,1119,10926,35,104035,321,1,2025-03-25 16:29:17
chalkbeat.org,chalkbeat,US,20034,3064,5318,8015,36040,546,1,2025-03-25 16:29:17
bendbulletin.com,thebulletin,US,20033,1737,10542,197,53037,581,1,2025-03-25 16:29:17
njbiz.com,njbiz,US,19939,1399,6776,22531,50605,699,1,2025-03-25 16:29:17
news-journalonline.com,dbnewsjournal,US,19722,285,20975,302,145864,498,1,2025-03-25 16:29:17
courierpress.com,courierpress,US,19680,1659,25545,231,126461,341,1,2025-03-25 16:29:17
southsideweekly.com,southsideweekly,US,19661,3239,3411,5601,16638,399,1,2025-03-25 16:29:17
stanforddaily.com,stanforddaily,US,19547,196,655,691,12650,528,1,2025-03-25 16:29:17
midweek.com,midweekhawaii,US,19538,357,5129,1797,25826,453,1,2025-03-25 16:29:17
broadcastingcable.com,bcbeat,US,19534,793,9405,1153,46192,0,1,2025-03-25 16:29:17
berkshireeagle.com,berkshireeagle,US,19503,1855,8919,872,70325,354,1,2025-03-25 16:29:17
oanow.com,oanow,US,19243,237,4136,176,100155,327,1,2025-03-25 16:29:17
rollcall.com,cqnow,US,19096,3324,27361,687,80540,756,1,2025-03-25 16:29:17
aerotime.aero,aviationnews,US,19020,750,2176,225,20532,318,1,2025-03-25 16:29:17
hattiesburgamerican.com,hburgamerican,US,18936,143,1196,188,132103,284,1,2025-03-25 16:29:17
thepoliticalinsider.com,tpinsidr,US,18838,8799,1270,15344,69692,138,1,2025-03-25 16:29:17
hotair.com,hotairblog,US,18821,17,21365,4,143274,620,1,2025-03-25 16:29:17
biztimes.com,biztimesmedia,US,18797,3870,11848,2020,35830,563,1,2025-03-25 16:29:17
ibtimes.co.in,ibtimes_india,US,18734,126,9919,3522,187877,406,1,2025-03-25 16:29:17
shepherdexpress.com,shepherdexpress,US,18682,2458,5247,2542,28846,505,1,2025-03-25 16:29:17
theatlantic.com,theatlpolitics,US,18594,961,5891,174,13903,929,1,2025-03-25 16:29:17
dailyclimate.org,thedailyclimate,US,18550,1370,3250,2762,47344,763,1,2025-03-25 16:29:17
kenoshanews.com,kenosha_news,US,18525,163,2058,186,123920,319,1,2025-03-25 16:29:17
patch.com,patchtweet,US,18443,2204,9490,1442,26819,476,1,2025-03-25 16:29:17
investors.com,ibdeditorials,US,18313,3839,1134,5,26758,653,1,2025-03-25 16:29:17
oaklandside.org,oaklandside,US,18274,76,312,4160,8190,276,1,2025-03-25 16:29:17
thesunchronicle.com,thesunchronicle,US,18248,409,15879,117,68641,272,1,2025-03-25 16:29:17
sandiego.com,mysandiego,US,18112,7747,219,212,6172,522,1,2025-03-25 16:29:17
dailybulletin.com,ivdailybulletin,US,17914,272,18227,2197,219345,358,1,2025-03-25 16:29:17
thestarpress.com,thestarpress,US,17893,413,30528,396,93862,262,1,2025-03-25 16:29:17
abcnews.go.com,abcinvestigates,US,17846,183,541,32,6323,516,1,2025-03-25 16:29:17
pasadenanow.com,epasadenanow,US,17758,14102,23478,62,48487,224,1,2025-03-25 16:29:17
fosters.com,fostersdailydem,US,17731,420,1432,477,72523,341,1,2025-03-25 16:29:17
armenianweekly.com,armenianweekly,US,17672,548,255,762,17631,249,1,2025-03-25 16:29:17
theridgefieldpress.com,ridgefieldpress,US,17663,253,14107,3368,55770,0,1,2025-03-25 16:29:17
ldnews.com,ldnews,US,17662,2354,7208,808,77806,0,1,2025-03-25 16:29:17
clclt.com,cl_charlotte,US,17655,4458,912,1970,25149,428,1,2025-03-25 16:29:17
gpb.orgnews,gpbnews,US,17612,2258,12675,3428,124522,546,1,2025-03-25 16:29:17
saratogian.com,saratogiannews,US,17553,627,1147,63,72003,313,1,2025-03-25 16:29:17
delawarestatenews.net,thestatenews,US,17494,54,2711,41,48612,247,1,2025-03-25 16:29:17
theresurgent.com,resurgent,US,17386,534,16708,3862,33540,350,1,2025-03-25 16:29:17
monroenews.com,monroenews,US,17312,12697,2551,521,73578,196,1,2025-03-25 16:29:17
irishecho.com,irishecho,US,17221,9569,2676,11123,16619,200,1,2025-03-25 16:29:17
ntdaily.com,ntdaily,US,17198,441,4900,5248,20612,763,1,2025-03-25 16:29:17
oc-media.org,ocmediaorg,GE,17105,984,4289,421,13011,403,1,2025-03-25 16:29:17
islandpacket.com,islandpacket,US,17101,1069,11745,221,121475,394,1,2025-03-26 16:31:57
lemonde.fren,lemonde_en,FR,17085,310,224,252,30578,372,1,2025-03-26 16:31:57
news-herald.com,newsheraldinoh,US,17032,1973,2331,591,162195,408,1,2025-03-26 16:31:57
iowapublicradio.org,iowapublicradio,US,17025,591,3126,2496,23343,438,1,2025-03-26 16:31:57
capitolweekly.net,capitol_weekly,US,16940,2167,2170,2113,37321,466,1,2025-03-26 16:31:57
hiddencityphila.org,hiddencityphila,US,16914,301,1100,1331,8223,322,1,2025-03-26 16:31:58
stream.org,streamdotorg,US,16894,5946,12837,915,30710,227,1,2025-03-26 16:31:58
capradio.org,capradionews,US,16875,600,20180,6092,90646,592,1,2025-03-26 16:31:58
bizjournals.comalbuquerque,abqbizfirst,US,16792,1983,5380,2122,37854,353,1,2025-03-26 16:31:58
brownsvilleherald.com,brownsvillenews,US,16789,3043,3117,136,27178,295,1,2025-03-26 16:31:58
baltimorebeat.com,baltbeat,US,16735,3271,1284,1704,7182,175,1,2025-03-26 16:31:58
dukechronicle.com,dukechronicle,US,16713,758,7768,44,35846,490,1,2025-03-26 16:31:58
isolezwelesixhosa.co.za,ilisolezwe,ZA,16698,2859,3770,3104,15453,18,1,2025-03-26 16:31:58
heraldonline.com,rhherald,US,16630,219,5664,255,91318,315,1,2025-03-26 16:31:58
ftleavenworthlamp.com,fortleavenworth,US,16587,43,1224,397,7309,272,1,2025-03-26 16:31:58
macon.com,telegraphga,US,16456,528,2089,486,102279,338,1,2025-03-26 16:31:58
cantonrep.com,cantonrepdotcom,US,16409,695,4252,780,96268,263,1,2025-03-26 16:31:58
heraldsun.com,theherald_sun,US,16385,573,5165,323,133066,414,1,2025-03-26 16:31:58
mrt.com,mwtnews,US,16337,323,390,59,42516,223,1,2025-03-26 16:31:58
floridaweekly.com,floridaweekly,US,16328,135,4488,28,7968,280,1,2025-03-26 16:31:58
dnj.com,dnj_com,US,16321,264,2461,296,101567,296,1,2025-03-26 16:31:58
dentonrc.com,dentonrc,US,16302,510,1255,670,39164,378,1,2025-03-26 16:31:58
bakersfield.com,bakersfieldcali,US,16249,187,1275,1205,21244,272,1,2025-03-26 16:31:58
journalrecord.com,journalrecord,US,16241,1720,1398,2185,23977,428,1,2025-03-26 16:31:58
valleymorningstar.com,valleystar,US,16240,1609,2600,149,48030,203,1,2025-03-26 16:31:58
reckon.news,reckonnews,US,16113,1168,2669,7663,33799,230,1,2025-03-26 16:31:58
thedaonline.com,dailyathenaeum,US,16093,218,4939,1304,32959,300,1,2025-03-26 16:31:58
bostonglobe.com,globeopinion,US,16031,405,9810,1198,45625,0,1,2025-03-26 16:31:58
middletownpress.com,middletownpress,US,16010,5319,6437,146,101435,418,1,2025-03-26 16:31:58
statejournal.com,wvstatejournal,US,16003,1558,10362,470,28423,283,1,2025-03-26 16:31:58
marylandmatters.org,marylandmatters,US,15965,971,124,1607,11954,266,1,2025-03-26 16:31:58
oxfordeagle.com,oxfordeagle,US,15940,849,503,135,11612,5,1,2025-03-26 16:31:58
southwesttimes.com,southwesttimes,US,15908,2064,4490,29538,44693,3,1,2025-03-26 16:31:58
lubbockonline.com,lubbockonline,US,15881,590,19157,636,80678,292,1,2025-03-26 16:31:58
johnsoncitypress.com,jcpress,US,15856,463,1580,142,69146,260,1,2025-03-26 16:31:58
washingtontimes.com,washtimesoped,US,15736,3242,7184,3073,109742,268,1,2025-03-26 16:31:58
citizensvoice.com,citizensvoice,US,15682,93,565,16,55203,252,1,2025-03-26 16:31:58
denverite.com,denverite,US,15667,380,6773,1052,22677,373,1,2025-03-26 16:31:58
lmtonline.com,lmtnews,US,15632,1174,4374,12,111746,212,1,2025-03-26 16:31:58
dailyfreeman.com,dailyfreeman,US,15590,802,12006,190,201422,342,1,2025-03-26 16:31:58
fwweekly.com,fortworthweekly,US,15576,658,285,2642,8746,201,1,2025-03-26 16:31:58
vaildaily.com,vaildaily,US,15566,707,5784,663,22969,404,1,2025-03-26 16:31:58
indyeastend.com,danspapers,US,15526,1462,10751,2408,25394,216,1,2025-03-26 16:31:58
tbrnews.com,beach_reporter,US,15479,245,1428,319,13366,380,1,2025-03-26 16:31:58
thesouthern.com,thesouthern,US,15436,235,3181,242,84049,278,1,2025-03-26 16:31:58
usnews.com,usnewsinvesting,US,15430,208,6402,119,41396,452,1,2025-03-26 16:31:58
nypost.com,nypostbiz,US,15391,164,18762,3,25777,380,1,2025-03-26 16:31:58
bismarcktribune.com,bistrib,US,15340,346,6080,32,93484,407,1,2025-03-26 16:31:58
starkvilledailynews.com,starkvilledaily,US,15273,326,4878,458,25053,194,1,2025-03-26 16:31:58
pbn.com,provbusnews,US,15231,389,917,826,23489,340,1,2025-03-26 16:31:58
annistonstar.com,annistonstar,US,15229,876,897,170,84941,337,1,2025-03-26 16:31:58
bettergov.org,bettergov,US,15185,2448,2008,4155,24173,475,1,2025-03-26 16:31:58
sdbj.com,sdbusiness,US,15106,1092,2227,3383,7926,492,1,2025-03-26 16:31:58
rbj.net,rbjdaily,US,15104,1930,12359,1909,31640,372,1,2025-03-26 16:31:58
sctimes.com,sctimes,US,15018,328,20547,1510,73613,351,1,2025-03-26 16:31:58
trib.com,cstribune,US,14998,177,6270,80,143764,0,1,2025-03-26 16:31:58
paloaltoonline.com,paloaltoweekly,US,14987,1230,9993,2059,47052,517,1,2025-03-26 16:31:58
mainebiz.biz,mainebiz,US,14962,647,6501,457,31533,353,1,2025-03-26 16:31:58
troyrecord.com,troyrecord,US,14888,1851,809,50,74628,304,1,2025-03-26 16:31:58
thephiladelphiacitizen.org,thephilacitizen,US,14882,5501,3797,7785,22690,279,1,2025-03-26 16:31:58
bostonglobe.com,globespotlight,US,14850,212,147,1209,1414,276,1,2025-03-26 16:31:58
uticaod.com,uticaod,US,14741,946,8718,1245,113978,274,1,2025-03-26 16:31:58
thehill.com,briefingroom,US,14741,14188,0,0,40346,771,1,2025-03-26 16:31:58
aftermath.site,aftermath_site,US,14617,0,1358,666,2478,113,1,2025-03-26 16:31:58
newhavenindependent.org,newhavenindy,US,14595,245,48,1003,25039,307,1,2025-03-26 16:31:58
newsherald.com,the_news_herald,US,14494,674,4608,7699,114748,0,1,2025-03-26 16:31:58
politico.com,politicolive,US,14359,3604,2116,2220,13629,228,1,2025-03-26 16:31:58
gorkhapatraonline.com,newsgorkhapatra,NP,14265,83,21427,7195,99586,54,1,2025-03-26 16:31:58
chicoer.com,chicoer,US,14251,252,8080,280,81141,320,1,2025-03-26 16:31:58
fredericksburg.com,newsintheburg,US,14224,473,20159,69,99493,257,1,2025-03-26 16:31:58
nashvillecitypaper.com,thecitypaper,US,14196,2244,26,9,12898,387,1,2025-03-26 16:31:58
msbusiness.com,mbjournal,US,14193,267,7809,201,31696,286,1,2025-03-26 16:31:58
multichannel.com,multinews,US,14158,617,2252,1841,44802,533,1,2025-03-26 16:31:58
desertsun.com,desertsunnews,US,14125,537,56,34,124869,262,1,2025-03-26 16:31:58
dailynebraskan.com,dailyneb,US,14107,2007,3603,748,28409,399,1,2025-03-26 16:31:58
williamsonherald.com,wherald,US,14077,1466,2074,7387,32875,176,1,2025-03-26 16:31:58
thehill.com,congressblog,US,14045,12490,0,0,14473,519,1,2025-03-26 16:31:58
alreporter.com,alreporter,US,14020,191,873,69,29534,282,1,2025-03-26 16:31:58
nwherald.com,nwherald,US,14013,539,18368,205,90478,307,1,2025-03-26 16:31:58
poststar.com,poststar,US,13922,721,6018,1608,160695,298,1,2025-03-26 16:31:58
montereycountyweekly.com,mcweekly,US,13880,3030,1063,879,16206,250,1,2025-03-26 16:31:58
azdailysun.com,azds,US,13879,275,9237,335,75724,407,1,2025-03-26 16:31:58
washingtonpost.com,thefix,US,13867,44,355,30,7723,291,1,2025-03-26 16:31:58
bostonglobe.com,bostonglobemag,US,13817,2532,14330,3140,28028,431,1,2025-03-26 16:31:58
pantagraph.com,pantagraph,US,13778,276,22883,1315,156007,326,1,2025-03-26 16:31:58
thegroundtruthproject.org,groundtruth,US,13655,6167,3177,6288,18829,428,1,2025-03-26 16:31:58
greatfallstribune.com,gftribune,US,13578,263,944,1782,91072,316,1,2025-03-26 16:31:58
gazettenet.com,dailyhampgaz,US,13525,522,3403,502,40992,279,1,2025-03-26 16:31:58
cnn.com,weekendexp,US,13470,1,3331,497,10657,106,1,2025-03-26 16:31:58
aspentimes.com,theaspentimes,US,13441,722,27406,997,75268,359,1,2025-03-26 16:31:58
floridaphoenix.com,flphoenixnews,US,13360,324,1846,51,11726,185,1,2025-03-26 16:31:58
ilanganews.co.za,ilanganewspaper,ZA,13326,107,237,94,609,16,1,2025-03-26 16:31:58
anchoragepress.com,anchoragepress,US,13311,534,402,1725,6360,286,1,2025-03-26 16:31:58
heraldcourier.com,heraldcourier,US,13242,148,1427,238,98849,292,1,2025-03-26 16:31:58
chroniclet.com,yourchronicle,US,13238,2587,7355,430,51319,206,1,2025-03-26 16:31:58
eugeneweekly.com,eugeneweekly,US,13222,1159,2266,1852,8332,374,1,2025-03-26 16:31:58
idahobusinessreview.com,ibrnews,US,13194,1582,2830,1785,11612,298,1,2025-03-26 16:31:58
orf.at,orf_at,AT,13176,6,7936,0,183464,290,1,2025-03-26 16:31:58
vvdailypress.com,vvdailypress,US,13158,3258,3925,424,50374,205,1,2025-03-26 16:31:58
capecodchronicle.com,cccnewsroom,US,13137,92,3298,74,10780,164,1,2025-03-26 16:31:58
businessreport.com,brbizreport,US,13127,61,5094,230,24621,243,1,2025-03-26 16:31:58
rrstar.com,rrstar,US,13122,1289,9818,1081,76279,319,1,2025-03-26 16:31:58
capegazette.com,capegazette,US,13071,329,1447,4938,70027,233,1,2025-03-26 16:31:58
beaumontenterprise.com,bmtenterprise,US,13065,503,12342,1681,78799,307,1,2025-03-26 16:31:58
palmbeachdailynews.com,shinysheet,US,13059,1264,5073,898,55217,315,1,2025-03-26 16:31:58
injusticewatch.org,injusticewatch,US,13029,970,612,2029,8237,216,1,2025-03-26 16:31:58
tacomaweekly.com,tacomaweekly,US,13013,255,129,671,21614,325,1,2025-03-26 16:31:58
prismreports.org,prismreports,US,12941,1099,464,5794,10460,186,1,2025-03-26 16:31:58
elkharttruth.com,elkharttruth,US,12894,388,8874,679,67174,272,1,2025-03-26 16:31:58
southcoasttoday.com,southcoasttoday,US,12854,732,14242,414,66973,192,1,2025-03-26 16:31:58
foxnews.com,livedesk,US,12848,148,0,1,959,575,1,2025-03-26 16:31:58
slate.com,slatest,US,12838,127,2766,185,8354,474,1,2025-03-26 16:31:58
afro.com,afronews,US,12817,1251,16663,2281,55738,0,1,2025-03-26 16:31:58
easthamptonstar.com,ehstar,US,12811,997,2103,703,8100,168,1,2025-03-26 16:31:58
delmarvanow.com,mydelmarvanow,US,12789,723,6186,912,81478,263,1,2025-03-26 16:31:58
hpj.com,highplainsjrnl,US,12777,1359,3515,442,23384,289,1,2025-03-26 16:31:58
thehour.com,thehournews,US,12683,1129,684,21,155945,325,1,2025-03-26 16:31:58
timesdaily.com,timesdaily,US,12646,297,436,73,66674,207,1,2025-03-26 16:31:58
frontpagemag.com,fpmag,US,12610,5605,8655,211,22667,401,1,2025-03-26 16:31:58
theledger.com,theledger,US,12604,428,10009,2555,119330,340,1,2025-03-26 16:31:58
insidetucsonbusiness.com,azbiz,US,12549,746,313,130,4999,317,1,2025-03-26 16:31:58
goupstate.com,goupstate,US,12539,358,11134,799,101122,286,1,2025-03-26 16:31:58
foxnewssouthtexas.com,rgvfox,US,12501,304,9276,319,34124,176,1,2025-03-26 16:31:58
hutchnews.com,hutchnews,US,12500,422,3617,364,86282,246,1,2025-03-26 16:31:58
wrbl.com,wrblnews3,US,12480,700,15414,1016,118714,310,1,2025-03-26 16:31:58
capitalpress.com,capitalpress,US,12439,3750,6598,81,49051,555,1,2025-03-26 16:31:58
hudsonreporter.com,hudson_reporter,US,12386,1090,5279,1224,9609,265,1,2025-03-26 16:31:58
forsythnews.com,forsythnews,US,12353,149,1783,311,8266,111,1,2025-03-26 16:31:58
westerngazette.ca,uwogazette,CA,12337,208,2873,1190,12727,229,1,2025-03-26 16:31:58
siouxlandproud.com,kcautv,US,12324,645,18256,11577,94653,213,1,2025-03-26 16:31:58
wcfcourier.com,wcfcourier,US,12317,295,21962,219,171283,322,1,2025-03-26 16:31:58
alextimes.com,alextimesnews,US,12268,1559,448,413,5714,284,1,2025-03-26 16:31:58
washingtonpost.com,democracypost,US,12239,1543,494,90,8733,403,1,2025-03-26 16:31:58
juneauempire.com,juneauempire,US,12229,372,6089,337,29366,380,1,2025-03-26 16:31:58
jacksonsun.com,jsunnews,US,12200,82,1695,88,82494,189,1,2025-03-26 16:31:58
whittierdailynews.com,whittiernews,US,12149,197,28259,1966,191500,260,1,2025-03-26 16:31:58
thestrikewave.com,strikewave,US,12138,863,167,1620,6240,176,1,2025-03-26 16:31:58
knpr.org,knprnews,US,12116,3532,2036,1354,33696,388,1,2025-03-26 16:31:58
stgeorgeutah.com,stgnews,US,12106,2014,29136,74,60466,294,1,2025-03-26 16:31:58
timesherald.com,timesheraldpa,US,12080,3034,17519,138,153158,354,1,2025-03-26 16:31:58
bnd.com,bellevillenewsd,US,12013,699,12556,606,156688,488,1,2025-03-26 16:31:58
staugustine.com,staugrecord,US,11975,423,5822,429,48062,286,1,2025-03-26 16:31:58
wyomingnews.com,wtenews,US,11941,409,12414,435,19981,373,1,2025-03-26 16:31:58
tylerpaper.com,tylerpaper,US,11932,645,17001,2735,53208,292,1,2025-03-26 16:31:58
mysuburbanlife.com,mysuburbanlife,US,11916,1154,9176,22,51565,229,1,2025-03-26 16:31:58
alibi.com,weeklyalibi,US,11870,3295,565,651,14403,279,1,2025-03-26 16:31:58
realclearpolitics.com,rcinvestigates,US,11865,559,820,91,7685,216,1,2025-03-26 16:31:58
malibutimes.com,themalibutimes,US,11844,697,1565,1206,12757,243,1,2025-03-26 16:31:58
thehill.com,e2wire,US,11797,10380,1,0,13781,584,1,2025-03-26 16:31:58
lakotacountrytimes.com,lakota_timez,US,11757,27,39,0,25188,170,1,2025-03-26 16:31:58
gadsdentimes.com,gadsdentimes,US,11745,4693,2701,39,57394,190,1,2025-03-26 16:31:58
timesnews.net,timesnewsonline,US,11728,133,3887,688,82727,215,1,2025-03-26 16:31:58
tucsonsentinel.com,tucsonsentinel,US,11703,1993,2196,280,27843,338,1,2025-03-26 16:31:58
postbulletin.com,pb_news,US,11699,65,8451,271,107606,310,1,2025-03-26 16:31:58
rsf.org,rsf_fr,US,11694,57,2545,621,8173,197,1,2025-03-26 16:31:58
latimes.com,latimespolitics,US,11621,511,2473,175,42270,566,1,2025-03-26 16:31:58
theindependent.com,theindependent,US,11615,1742,13415,236,84648,279,1,2025-03-26 16:31:58
segodnya.uauaallnews.html,segodnya_online,UA,11603,86,13561,31,77078,94,1,2025-03-26 16:31:58
votebeat.org,votebeatus,US,11596,706,207,1909,4086,240,1,2025-03-26 16:31:58
leadertelegram.com,leadertelegram,US,11556,338,15655,253,82029,238,1,2025-03-26 16:31:58
simivalleyacorn.com,svacorn,US,11529,444,1519,898,9364,0,1,2025-03-26 16:31:58
agalert.com,cafarmbureau,US,11526,732,4904,4017,8076,301,1,2025-03-26 16:31:58
newarkadvocate.com,newarkadvocate,US,11497,774,26998,10,69180,196,1,2025-03-26 16:31:58
hartfordbusiness.com,hartfordbiz,US,11492,873,4542,980,55002,357,1,2025-03-26 16:31:58
thonline.com,telegraphherald,US,11481,396,49423,70,140792,241,1,2025-03-26 16:31:58
qchron.com,queenschronicle,US,11452,1152,1302,142,21279,352,1,2025-03-26 16:31:58
gmtoday.com,waukeshafreeman,US,11431,1589,1778,281,19124,165,1,2025-03-26 16:31:58
galvnews.com,galvnews,US,11421,96,362,70,34036,288,1,2025-03-26 16:31:58
rep-am.com,rep_am,US,11372,456,72272,14,178202,311,1,2025-03-26 16:31:58
smmirror.com,smmirror,US,11334,656,3934,668,16177,229,1,2025-03-26 16:31:58
fortworthbusiness.com,fwbusinesspress,US,11323,2137,2511,628,19906,264,1,2025-03-26 16:31:58
dothaneagle.com,dothaneagle,US,11318,775,14747,185,80687,239,1,2025-03-26 16:31:58
durangoherald.com,durangoherald,US,11316,434,11466,344,58196,323,1,2025-03-26 16:31:58
yakimaherald.com,yakima_herald,US,11273,307,831,205,52087,304,1,2025-03-26 16:31:58
csbj.com,csbizjournal,US,11254,1438,654,428,7471,266,1,2025-03-26 16:31:58
poconorecord.com,poconorecord,US,11251,740,3992,2294,70768,275,1,2025-03-26 16:31:58
ithacajournal.com,ithacajournal,US,11250,347,8108,113,90485,479,1,2025-03-26 16:31:58
reporterherald.com,reporterherald,US,11238,381,2447,95,81579,337,1,2025-03-26 16:31:58
greeleytribune.com,greeleytribune,US,11238,580,14149,217,82202,370,1,2025-03-26 16:31:58
tahoedailytribune.com,tahoedailytrib,US,11207,919,195,1351,35549,257,1,2025-03-26 16:31:58
journal-news.com,journalnews,US,11164,1811,58084,3500,169660,204,1,2025-03-26 16:31:58
newstribune.com,newstribune,US,11143,1426,6842,399,118054,286,1,2025-03-26 16:31:58
spotlightpa.org,spotlightpa,US,11090,121,414,977,5270,256,1,2025-03-26 16:31:58
kansascitydefender.com,kcdefender,US,11072,2414,233,3427,1677,77,1,2025-03-26 16:31:58
apmreports.org,apmreports,US,11008,2238,319,4132,1824,160,1,2025-03-26 16:31:58
heraldnews.com,hnnow,US,10935,643,1448,941,81932,180,1,2025-03-26 16:31:58
decaturdaily.com,decaturdaily,US,10922,87,389,37,80689,186,1,2025-03-26 16:31:58
irishcatholic.com,irishcathnews,IE,10902,7,1951,1676,8136,137,1,2025-03-26 16:31:58
morningjournal.com,morningjournal,US,10878,1066,1365,441,139907,271,1,2025-03-26 16:31:58
theherald-news.com,joliet_hn,US,10811,677,17159,72,78889,214,1,2025-03-26 16:31:58
thecalifornian.com,salnews,US,10805,269,6037,310,55264,259,1,2025-03-26 16:31:58
swtimes.com,timesrecord,US,10795,790,10422,1977,110782,274,1,2025-03-26 16:31:58
yomiuri.co.jp,jn_japanese,JP,10789,20,979,272,4909,317,1,2025-03-26 16:31:58
bocaratontribune.com,bocatribune,US,10778,1718,4779,389,20294,246,1,2025-03-26 16:31:58
washingtonpost.com,washpostbiz,US,10757,339,73,50,77196,535,1,2025-03-26 16:31:58
news-journal.com,newsjournal,US,10740,497,6940,408,35746,173,1,2025-03-26 16:31:58
kearneyhub.com,kearneyhub,US,10725,1870,12716,805,101123,179,1,2025-03-26 16:31:58
dailylocal.com,wcdailylocal,US,10723,1307,806,978,49373,357,1,2025-03-26 16:31:58
oaoa.com,odessaamerican,US,10706,1200,319,67,59077,190,1,2025-03-26 16:31:58
shelbycountyreporter.com,shelbycreporter,US,10704,498,4894,1373,27858,169,1,2025-03-26 16:31:58
sent-trib.com,sentineltribune,US,10577,3378,6140,83,107860,158,1,2025-03-26 16:31:58
thedpost.com,dominionpostwv,US,10564,101,1543,153,57225,161,1,2025-03-26 16:31:58
gauchazh.clicrbs.com.br,zerohora,BR,10532,0,2,0,2,88,1,2025-03-26 16:31:58
newtimesslo.com,newtimesslo,US,10531,737,342,286,9207,237,1,2025-03-26 16:31:58
forbes.com,forbesopinion,US,10478,147,3183,107,11679,309,1,2025-03-26 16:31:58
cnn.com,cnnspecreport,US,10470,283,50,19,777,124,1,2025-03-26 16:31:58
qconline.com,dispatch_argus,US,10448,2131,1953,242,109493,220,1,2025-03-26 16:31:58
montanafreepress.org,mtfreepress,US,10425,953,743,501,9172,275,1,2025-03-26 16:31:58
burlingtoncountytimes.com,burlcotimes,US,10414,616,10527,52,83530,224,1,2025-03-26 16:31:58
redding.com,breakingnews_rs,US,10403,734,2466,258,36577,236,1,2025-03-26 16:31:58
emergencyemail.org,emergencyemail,US,10402,6743,1,2,29688,344,1,2025-03-26 16:31:58
mainlinemedianews.com,mlmedianews,US,10399,2134,2148,177,44005,277,1,2025-03-26 16:31:58
pottsmerc.com,mercuryx,US,10396,1825,874,138,90868,264,1,2025-03-26 16:31:58
capitalandmain.com,capitalandmain,US,10396,3522,3271,7483,26852,253,1,2025-03-26 16:31:58
northwestgeorgianews.com,romenewstribune,US,10375,1372,504,2641,53663,184,1,2025-03-26 16:31:58
sanduskyregister.com,sanduskyregistr,US,10371,735,2366,578,22497,179,1,2025-03-26 16:31:58
baltimorefishbowl.com,baltfishbowl,US,10357,1224,5595,775,34169,221,1,2025-03-26 16:31:58
yesweekly.com,yesweekly,US,10342,2834,4266,16577,24028,227,1,2025-03-26 16:31:58
kdhnews.com,kdhnews,US,10333,850,798,156,67950,243,1,2025-03-26 16:31:58
smileypete.com,bizlex,US,10307,868,139,111,2648,204,1,2025-03-26 16:31:58
toledocitypaper.com,tcpaper,US,10295,1397,937,264,4435,184,1,2025-03-26 16:31:58
redlandsdailyfacts.com,redlandsnews,US,10294,249,31636,1737,192983,213,1,2025-03-26 16:31:58
heraldextra.com,heraldextra,US,10280,361,31562,1063,63662,464,1,2025-03-26 16:31:58
washingtonpost.com,wpmagazine,US,10214,75,296,365,7956,279,1,2025-03-26 16:31:58
